event,notes,menuText,shortText,chatText,aliasSubname,hasCalm,hasCalmFar,hasUrgent,hasUrgentFar,subEvent,defaultIcon,pingAsset,
BLANK,,,,,,0,0,0,0,,,,
PING_WEAPON_KRABER,,,,#PING_LOOT,ping_foundKraber,65537,256,1,0,,,,
PING_WEAPON_MASTIFF,,,,#PING_LOOT,ping_foundMastiff,65537,256,1,0,,,,
PING_WEAPON_LSTAR,,,,#PING_LOOT,ping_foundLstar,65537,256,1,0,,,,
PING_WEAPON_ENERGY_AR,! [jnel] hooked up Havoc instead of enery ar / energy weapon.,,,#PING_LOOT,ping_foundHavoc,65537,256,1,0,,,,
PING_WEAPON_DEVOTION,,,,#PING_LOOT,ping_foundDevotion,65537,256,1,0,,,,
PING_WEAPON_TRIPLETAKE,,,,#PING_LOOT,ping_foundTripletake,65537,256,1,0,,,,
PING_WEAPON_FLATLINE,,,,#PING_LOOT,ping_foundFlatline,65537,256,1,0,,,,
PING_WEAPON_HEMLOK,,,,#PING_LOOT,ping_foundHemlok,65537,256,1,0,,,,
PING_WEAPON_G7,,,,#PING_LOOT,ping_foundG7,65537,256,1,0,,,,
PING_WEAPON_ALTERNATOR,,,,#PING_LOOT,ping_foundAlternator,65537,256,1,0,,,,
PING_WEAPON_R97,! [jnel] this is still r97, but should we hook it to r99?,,,#PING_LOOT,ping_foundR99,65537,256,1,0,,,,
PING_WEAPON_PROWLER,,,,#PING_LOOT,ping_foundprowler,65537,256,1,0,,,,
PING_WEAPON_DMR,,,,#PING_LOOT,ping_foundDmr,65537,256,1,0,,,,
PING_WEAPON_SPITFIRE,,,,#PING_LOOT,ping_foundSpitfire,65537,256,1,0,,,,
PING_WEAPON_R201,! [jnel] hooked the r301 to this event. Event string is r201.,,,#PING_LOOT,ping_foundR301,65537,256,1,0,,,,
PING_WEAPON_EVA,,,,#PING_LOOT,ping_foundEva,65537,256,1,0,,,,
PING_WEAPON_PEACEKEEPER,,,,#PING_LOOT,ping_foundpeacekeeper,65537,256,1,0,,,,
PING_WEAPON_MOZAMBIQUE,,,,#PING_LOOT,ping_foundMozambique,65537,256,1,0,,,,
PING_WEAPON_WINGMAN,,,,#PING_LOOT,ping_foundWingman,65537,256,1,0,,,,
PING_WEAPON_SEMIPISTOL,,,,#PING_LOOT,ping_foundP2020,65537,256,1,0,,,,
PING_WEAPON_AUTOPISTOL,,,,#PING_LOOT,ping_foundRE45,65537,256,1,0,,,,
PING_OFFHAND_GRENADE_FIRESTAR,! [jnel] hooked up foundThermite. Event string is still firestar.,,,#PING_LOOT,ping_foundThermite,65537,256,1,0,,,,
PING_OFFHAND_GRENADE_FRAG,,,,#PING_LOOT,ping_foundFrag,65537,256,1,0,,,,
PING_OFFHAND_GRENADE_ARC,! [jnel] hooked up foundArcStar. Event string is still grenade_arc.,,,#PING_LOOT,ping_foundArcStar,65537,256,1,0,,,,
PING_AMMO_BULLET,! [jnel] hooked up foundAmmoLight,,,#PING_LOOT,ping_foundAmmoLight,65537,256,1,0,,,,
PING_AMMO_SPECIAL,,,,#PING_LOOT,ping_foundAmmoEnergy,65537,256,1,0,,,,
PING_AMMO_SHOTGUN,,,,#PING_LOOT,ping_foundAmmoShotgun,65537,256,1,0,,,,
PING_AMMO_HIGHCAL,! [jnel] hooked up foundAmmoHeavy.,,,#PING_LOOT,ping_foundAmmoHeavy,65537,256,1,0,,,,
PING_EQUIPMENT_ARMOR_1,,,,#PING_TIERED_LOOT,ping_foundBodyShield,65537,256,1,0,SUB_TYPE_LEVEL1,,,
PING_EQUIPMENT_ARMOR_2,,,,#PING_TIERED_LOOT,ping_foundBodyShield,65537,256,1,0,SUB_TYPE_LEVEL2,,,
PING_EQUIPMENT_ARMOR_3,,,,#PING_TIERED_LOOT,ping_foundBodyShield,65537,256,1,0,SUB_TYPE_LEVEL3,,,
PING_EQUIPMENT_ARMOR_4,,,,#PING_TIERED_LOOT,ping_foundBodyShield,65537,256,1,0,SUB_TYPE_LEVEL4,,,
PING_EQUIPMENT_HELMET_1,,,,#PING_TIERED_LOOT,ping_foundHelmet,65537,256,1,0,SUB_TYPE_LEVEL1,,,
PING_EQUIPMENT_HELMET_2,,,,#PING_TIERED_LOOT,ping_foundHelmet,65537,256,1,0,SUB_TYPE_LEVEL2,,,
PING_EQUIPMENT_HELMET_3,,,,#PING_TIERED_LOOT,ping_foundHelmet,65537,256,1,0,SUB_TYPE_LEVEL3,,,
PING_EQUIPMENT_HELMET_4,,,,#PING_TIERED_LOOT,ping_foundHelmet,65537,256,1,0,SUB_TYPE_LEVEL4,,,
PING_EQUIPMENT_BACKPACK_1,,,,#PING_TIERED_LOOT,ping_foundBackpack,65537,256,1,0,SUB_TYPE_LEVEL1,,,
PING_EQUIPMENT_BACKPACK_2,,,,#PING_TIERED_LOOT,ping_foundBackpack,65537,256,1,0,SUB_TYPE_LEVEL2,,,
PING_EQUIPMENT_BACKPACK_3,,,,#PING_TIERED_LOOT,ping_foundBackpack,65537,256,1,0,SUB_TYPE_LEVEL3,,,
PING_EQUIPMENT_BACKPACK_4,,,,#PING_TIERED_LOOT,ping_foundBackpack,65537,256,1,0,SUB_TYPE_LEVEL4,,,
PING_EQUIPMENT_INCAPSHIELD_1,,,,#PING_TIERED_LOOT,ping_foundShieldKO,65537,256,1,0,SUB_TYPE_LEVEL1,,,
PING_EQUIPMENT_INCAPSHIELD_2,,,,#PING_TIERED_LOOT,ping_foundShieldKO,65537,256,1,0,SUB_TYPE_LEVEL2,,,
PING_EQUIPMENT_INCAPSHIELD_3,,,,#PING_TIERED_LOOT,ping_foundShieldKO,65537,256,1,0,SUB_TYPE_LEVEL3,,,
