ref,type,minInWorld,baseWeapon,baseMods,supportedAttachments,lootTags,tier,pingCommsAction,fakeAmmoIcon,icon,pickupModel,skinOverride,attachSound,pickupSound_1p,pickupSound_3p,carrySound,pickupString,desc,countPerDrop,inventorySlotCount,netInt,passive,unused1,unused2,scrapValue,droppodRotate,isDynamic,
mp_weapon_sniper,main_weapon,0.000000,,,,sniper,4,PING_WEAPON_KRABER,rui/hud/gametype_icons/survival/sur_ammo_kraber,,,0,,survival_loot_pickup_weapon_sniper,survival_loot_pickup_3p_weapon_sniper,,,,1,1,,,0,0,20,0,0,
mp_weapon_mastiff,main_weapon,0.000000,,,,shotgun,4,PING_WEAPON_MASTIFF,rui/hud/gametype_icons/survival/sur_ammo_mastiff,,,0,,survival_loot_pickup_weapon_mastiff,survival_loot_pickup_3p_weapon_mastiff,,,,1,1,,,0,0,20,0,0,
mp_weapon_lstar,main_weapon,0.000000,,,,lmg,4,PING_WEAPON_LSTAR,rui/hud/gametype_icons/survival/sur_ammo_lstar,,,0,,survival_loot_pickup_weapon_lstar,survival_loot_pickup_3p_weapon_lstar,,,,1,1,,,0,0,20,0,0,
mp_weapon_energy_ar,main_weapon,0.000000,,,sight grip hopup,assault,1,PING_WEAPON_ENERGY_AR,,,,0,,survival_loot_pickup_weapon_lstar,survival_loot_pickup_3p_weapon_lstar,,,,1,1,,,0,0,20,0,0,
mp_weapon_energy_ar_gold,main_weapon,0.000000,mp_weapon_energy_ar,gold hopup_selectfire optic_ranged_aog_variable stock_tactical_l3,sight grip hopup,assault,4,PING_WEAPON_ENERGY_AR,,,,0,,survival_loot_pickup_weapon_lstar,survival_loot_pickup_3p_weapon_lstar,,,,1,1,,,0,0,20,0,0,
mp_weapon_esaw,main_weapon,0.000000,,,sight barrel grip hopup,lmg,1,PING_WEAPON_DEVOTION,,,,0,,survival_loot_pickup_weapon_esaw,survival_loot_pickup_3p_weapon_esaw,,,,1,1,,,0,0,20,0,0,
mp_weapon_esaw_gold,main_weapon,0.000000,mp_weapon_esaw,gold hopup_turbocharger optic_cq_hcog_bruiser barrel_stabilizer_l4_flash_hider stock_tactical_l3,sight barrel grip hopup,lmg,4,PING_WEAPON_DEVOTION,,,,0,,survival_loot_pickup_weapon_esaw,survival_loot_pickup_3p_weapon_esaw,,,,1,1,,,0,0,20,0,0,
mp_weapon_doubletake,main_weapon,0.000000,,,sight grip hopup,sniper,1,PING_WEAPON_TRIPLETAKE,,,,0,,survival_loot_pickup_weapon_doubletake,survival_loot_pickup_3p_weapon_doubletake,,,,1,1,,,0,0,20,0,0,
mp_weapon_vinson,main_weapon,0.000000,,,sight mag grip,assault,1,PING_WEAPON_FLATLINE,,,,0,,survival_loot_pickup_weapon_vinson,survival_loot_pickup_3p_weapon_vinson,,,,1,1,,,0,0,20,0,0,
mp_weapon_hemlok,main_weapon,0.000000,,,sight mag barrel grip,assault,1,PING_WEAPON_HEMLOK,,,,0,,survival_loot_pickup_weapon_hemlok,survival_loot_pickup_3p_weapon_hemlok,,,,1,1,,,0,0,20,0,0,
mp_weapon_g2,main_weapon,0.000000,,,sight mag barrel grip,sniper,1,PING_WEAPON_G7,,,,0,,survival_loot_pickup_weapon_g2,survival_loot_pickup_3p_weapon_g2,,,,1,1,,,0,0,20,0,0,
mp_weapon_alternator_smg,main_weapon,0.000000,,,sight mag barrel grip,smg,1,PING_WEAPON_ALTERNATOR,,,,0,,survival_loot_pickup_weapon_alternator_smg,survival_loot_pickup_3p_weapon_alternator_smg,,,,1,1,,,0,0,20,0,0,
mp_weapon_r97,main_weapon,0.000000,,,sight mag barrel grip,smg,1,PING_WEAPON_R97,,,,0,,survival_loot_pickup_weapon_r97,survival_loot_pickup_3p_weapon_r97,,,,1,1,,,0,0,20,0,0,
mp_weapon_pdw,main_weapon,0.000000,,,sight mag grip hopup,smg,1,PING_WEAPON_PROWLER,,,,0,,survival_loot_pickup_weapon_r97,survival_loot_pickup_3p_weapon_r97,,,,1,1,,,0,0,20,0,0,
mp_weapon_pdw_gold,main_weapon,0.000000,mp_weapon_pdw,gold hopup_selectfire optic_cq_threat highcal_mag_l3 stock_tactical_l3,sight mag grip hopup,smg,4,PING_WEAPON_PROWLER,,,,0,,survival_loot_pickup_weapon_r97,survival_loot_pickup_3p_weapon_r97,,,,1,1,,,0,0,20,0,0,
mp_weapon_dmr,main_weapon,0.000000,,,sight mag barrel grip hopup,sniper,1,PING_WEAPON_DMR,,,,0,,survival_loot_pickup_weapon_dmr,survival_loot_pickup_3p_weapon_dmr,,,,1,1,,,0,0,20,0,0,
mp_weapon_dmr_gold,main_weapon,0.000000,mp_weapon_dmr,gold hopup_headshot_dmg optic_sniper_threat highcal_mag_l3 barrel_stabilizer_l4_flash_hider stock_sniper_l3,sight mag barrel grip hopup,sniper,4,PING_WEAPON_DMR,,,,0,,survival_loot_pickup_weapon_dmr,survival_loot_pickup_3p_weapon_dmr,,,,1,1,,,0,0,20,0,0,
mp_weapon_lmg,main_weapon,0.000000,,,sight barrel grip mag,lmg,1,PING_WEAPON_SPITFIRE,,,,0,,survival_loot_pickup_weapon_lmg,survival_loot_pickup_3p_weapon_lmg,,,,1,1,,,0,0,20,0,0,
mp_weapon_rspn101,main_weapon,0.000000,,,sight mag barrel grip,assault,1,PING_WEAPON_R201,,,,0,,survival_loot_pickup_weapon_rspn101,survival_loot_pickup_3p_weapon_rspn101,,,,1,1,,,0,0,20,0,0,
mp_weapon_rspn101_gold,main_weapon,0.000000,mp_weapon_rspn101,gold optic_ranged_aog_variable bullets_mag_l3 barrel_stabilizer_l4_flash_hider stock_tactical_l3,sight mag barrel grip,assault,4,PING_WEAPON_R201,,,,0,,survival_loot_pickup_weapon_rspn101,survival_loot_pickup_3p_weapon_rspn101,,,,1,1,,,0,0,20,0,0,
mp_weapon_shotgun,main_weapon,0.000000,,,sight mag,shotgun,1,PING_WEAPON_EVA,,,,0,,survival_loot_pickup_weapon_shotgun,survival_loot_pickup_3p_weapon_shotgun,,,,1,1,,,0,0,20,0,0,
mp_weapon_energy_shotgun,main_weapon,0.000000,,,sight mag hopup,shotgun,1,PING_WEAPON_PEACEKEEPER,,,,0,,survival_loot_pickup_weapon_shotgun,survival_loot_pickup_3p_weapon_shotgun,,,,1,1,,,0,0,20,0,0,
mp_weapon_energy_shotgun_gold,main_weapon,0.000000,mp_weapon_energy_shotgun,gold hopup_energy_choke optic_cq_threat shotgun_bolt_l3,sight mag hopup,shotgun,4,PING_WEAPON_PEACEKEEPER,,,,0,,survival_loot_pickup_weapon_shotgun,survival_loot_pickup_3p_weapon_shotgun,,,,1,1,,,0,0,20,0,0,
mp_weapon_shotgun_pistol,main_weapon,0.000000,,,sight mag,pistol,1,PING_WEAPON_MOZAMBIQUE,,,,0,,survival_loot_pickup_weapon_shotgun,survival_loot_pickup_3p_weapon_shotgun,,,,1,1,,,0,0,20,0,0,
mp_weapon_wingman,main_weapon,0.000000,,,sight mag hopup,pistol,1,PING_WEAPON_WINGMAN,,,,0,,survival_loot_pickup_weapon_wingman,survival_loot_pickup_3p_weapon_wingman,,,,1,1,,,0,0,20,0,0,
mp_weapon_wingman_gold,main_weapon,0.000000,mp_weapon_wingman,gold hopup_headshot_dmg optic_cq_holosight_variable highcal_mag_l3,sight mag hopup,pistol,4,PING_WEAPON_WINGMAN,,,,0,,survival_loot_pickup_weapon_wingman,survival_loot_pickup_3p_weapon_wingman,,,,1,1,,,0,0,20,0,0,
mp_weapon_semipistol,main_weapon,0.000000,,,sight mag,pistol,1,PING_WEAPON_SEMIPISTOL,,,,0,,survival_loot_pickup_weapon_semipistol,survival_loot_pickup_3p_weapon_semipistol,,,,1,1,,,0,0,20,0,0,
mp_weapon_autopistol,main_weapon,0.000000,,,sight mag barrel,pistol,1,PING_WEAPON_AUTOPISTOL,,,,0,,survival_loot_pickup_weapon_autopistol,survival_loot_pickup_3p_weapon_autopistol,,,,1,1,,,0,0,20,0,0,
bullet,ammo,0.000000,,,,,1,PING_AMMO_BULLET,,rui/hud/gametype_icons/survival/sur_ammo_bullet,mdl/weapons_r5/loot/_master/w_loot_wep_ammo_sc.rmdl,0,,survival_loot_pickup_LightAmmo,survival_loot_pickup_3p_LightAmmo,,#SURVIVAL_PICKUP_BULLETS,#SURVIVAL_PICKUP_BULLETS_HINT,20,80,,,0,0,0,0,0,
